Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
3809,10th week,Maharashtra,Chandrapur,Dengue,6,1.0,24,11,2014,20.0967555,79.50454752,0.0024578931,,303.2
3810,10th week,Maharashtra,Chandrapur,Malaria,81,1.0,1,12,2014,20.0967555,79.50454752,3.1e-05,14.0,300.172
3811,10th week,Maharashtra,Satara,Malaria,74,1.0,9,12,2014,17.63612885,74.29827808,9.13e-05,8.0,306.26
3822,13th week,Maharashtra,Sangli,Dengue,15,,24,2,2015,17.1726928,74.58676543,6.17e-05,6.0,311.656
3847,16th week,Maharashtra,Satara,Dengue,8,,1,11,2014,17.63612885,74.29827808,0.1073499873,,306.5666666
3848,16th week,Maharashtra,Satara,Dengue,11,,2,9,2014,17.63612885,74.29827808,1.003676192,4.0,
3849,16th week,Maharashtra,Satara,Dengue,22,,24,10,2014,17.63612885,74.29827808,0.07130009105,,307.136
3864,18th week,Maharashtra,Gadchiroli,Dengue,44,,25,4,2015,19.75907035,80.16228073,0.008913779688,9.0,311.85
3886,19th week,Maharashtra,Ahmednagar,Dengue,11,1.0,27,4,2015,19.1627725,74.8580243,0.01545371461,4.0,318.75
3930,22nd week,Maharashtra,Nashik,Dengue,29,,24,5,2015,20.0112475,73.7902364,0.003372753075,,316.2766666
4041,27th week,Maharashtra,Kolhapur,Malaria,48,,26,6,2015,16.7028412,74.2405329,0.9542822088,,301.78000000000003
4094,29th week,Maharashtra,Gadchiroli,Malaria,37,1.0,9,7,2015,19.75907035,80.16228073,0.04433135715,18.0,303.36
4117,30th week,Maharashtra,Gadchiroli,Malaria,41,1.0,17,7,2015,19.75907035,80.16228073,0.3063071057,21.0,303.645
4184,32nd week,Maharashtra,Chandrapur,Dengue,70,,13,7,2015,20.0967555,79.50454752,0.2738675202,17.0,304.135
4185,32nd week,Maharashtra,Chandrapur,Dengue,87,,22,7,2015,20.0967555,79.50454752,0.3726414689,13.0,313.14
4186,32nd week,Maharashtra,Nagpur,Dengue,25,,27,7,2015,21.1498134,79.0820556,0.3560908714,,
4195,33rd week,Maharashtra,Nashik,Dengue,10,,8,8,2015,20.0112475,73.7902364,0.4870072432,5.0,297.36
4213,33rd week,Maharashtra,Gadchiroli,Malaria,68,2.0,17,7,2015,19.75907035,80.16228073,0.3063071057,21.0,303.645
4296,36th week,Maharashtra,Chandrapur,Malaria,88,1.0,14,8,2015,20.0967555,79.50454752,0.8316976807,15.0,302.54
4344,38th week,Maharashtra,Kolhapur,Malaria,14,,10,9,2015,16.7028412,74.2405329,0.4009048268,8.0,310.55333340000004
4345,38th week,Maharashtra,Wardha,Malaria,23,,15,9,2015,20.82562315,78.6131455,0.1814095377,19.0,305.468
4387,39th week,Maharashtra,Satara,Dengue,11,,27,8,2015,17.63612885,74.29827808,0.09065298531,4.0,306.88
4388,39th week,Maharashtra,Satara,Dengue,10,,28,8,2015,17.63612885,74.29827808,0.07630872588,,305.61333340000004
4440,41st week,Maharashtra,Nanded,Dengue,15,,16,9,2015,19.09400875,77.48319215,1.047197061,18.0,304.15000000000003
4441,41st week,Maharashtra,Nashik,Malaria,36,,22,9,2015,20.0112475,73.7902364,1.461111818,,297.3466666
4454,42nd week,Maharashtra,Nashik,Dengue,18,,7,10,2015,20.0112475,73.7902364,0.4181637434,,303.05
4524,47th week,Maharashtra,Gadchiroli,Malaria,15,1.0,11,11,2015,19.75907035,80.16228073,2.07e-05,19.0,302.27
4525,47th week,Maharashtra,Gadchiroli,Malaria,30,1.0,16,11,2015,19.75907035,80.16228073,7.15e-05,,301.384
4541,48th week,Maharashtra,Kolhapur,Malaria,11,,19,11,2015,16.7028412,74.2405329,7.44e-05,9.0,305.7
4569,50th week,Maharashtra,Gadchiroli,Malaria,195,1.0,5,12,2015,19.75907035,80.16228073,0.009911550213,13.0,302.456
4597,52nd week,Maharashtra,Kolhapur,Malaria,60,,19,12,2015,16.7028412,74.2405329,0.0004126996655,,305.736
4598,52nd week,Maharashtra,Nashik,Dengue,10,,17,12,2015,20.0112475,73.7902364,0.001370455503,10.0,304.628
4601,53rd week,Maharashtra,Kolhapur,Malaria,3,1.0,26,12,2015,16.7028412,74.2405329,0.0001279093498,,305.0433334
4672,16th week,Maharashtra,Dhule,Dengue,94,2.0,13,4,2014,21.13170235,74.48990147,0.006512855831,5.0,318.6466666
